Report: Chartered Organizations Report
Council: Greater Colorado Council 061 
Organization Name: Centennial 02
Reporting period: Now
Report Generated By: Richard Hall
Date Report Generated: 04/04/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..territoryname,councilname,subcouncilname,districtname,subdistrictname,unitname,unitid,genderaccepted,expirydtstr,specialinteresttypecode,specialinteresttype,communityorganization,communityorganizationtypecode,communityorganizationtype,tenure,address,citystate,zip,phone,qttyouth,qttadultvolunteers,communityorganizationtypeshort
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0839","176707","B","12/31/2025","0413","TRADITIONAL PROGRAM","All Saints Lutheran Church","008","Lutheran Churches","524","15625 E Iliff Ave","Aurora, CO","80013-1110","(303)-752-4083","6","14","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Crew 0839","355801","","12/31/2025","1004","CAMPING/BACKPACKING/HIKING","All Saints Luthern Church","008","Lutheran Churches","90","15625 E Iliff Ave","Aurora, CO","80013-1110","(303)-752-4083","6","13","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0127","188961","F","12/31/2025","0413","TRADITIONAL PROGRAM","American Legion Post 1976","227","Business and Industry, Unclassified","448","15821 E Centretech Cir","Aurora, CO","80011-9018","","30","8","BUS"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Post 0025","366351","","12/31/2025","0800","GENERAL LAW ENFORCEMENT","Arapahoe County Sheriffs Department","103","Law Enforcement Agencies","55","13101 Broncos Pkwy","Centennial, CO","80112-4558","(720)-874-3898","12","1","GOV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0725","75161","F","12/31/2025","0413","TRADITIONAL PROGRAM","Aurora Academy","122","Private Schools,Academies","238","10251 E 1st Ave","Aurora, CO","80010-4308","(303)-367-5983","20","11","EDUC"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0914","80478","F","12/31/2025","0413","TRADITIONAL PROGRAM","Aurora Chamber of Commerce","028","Church of God","274","19580 Pilgrims Pl","Parker, CO","80138-7354","(303)-344-1500","71","14","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 1127","29768","F","12/31/2025","0413","TRADITIONAL PROGRAM","Aurora Chamber of Commerce","028","Church of God","199","19580 Pilgrims Pl","Parker, CO","80138-7354","(303)-344-1500","40","8","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0015","36129","F","12/31/2025","0413","TRADITIONAL PROGRAM","Aurora Gateway Rotary Club","107","Rotary International","208","PO Box 440998","Aurora, CO","80044-0998","(303)-564-9069","29","8","SRVC"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0030","31487","B","12/31/2025","0413","TRADITIONAL PROGRAM","Bennett Watkins Lions Club","227","Business and Industry, Unclassified","530","301 S County Road 137","Bennett, CO","80102-8640","(303)-908-0796","19","7","BUS"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0630","279200","F","12/31/2025","0413","TRADITIONAL PROGRAM","Christ The Savior Lutheran Church","008","Lutheran Churches","654","1092 S Nome St","Aurora, CO","80012-3250","(720)-428-9180","37","12","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0630","358759","G","12/31/2025","0413","TRADITIONAL PROGRAM","Christ The Savior Lutheran Church","008","Lutheran Churches","82","1092 S Nome St","Aurora, CO","80012-3250","(303)-340-2835","3","9","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0630","219326","B","12/31/2025","0430","Combined Troop Pilot","Christ The Savior Lutheran Church","008","Lutheran Churches","614","1092 S Nome St","Aurora, CO","80012-3250","(303)-340-2835","26","31","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0120","155614","B","12/31/2025","0413","TRADITIONAL PROGRAM","Colorado National Guard Friends of Scouting","070","Groups of Citizens","355","8212 Club Crest Dr","Arvada, CO","80005-2204","(720)-847-9905","7","9","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Crew 0308","365984","","12/31/2025","1015","RANGER-PARK/FOREST/CAMP","Faith Presbyterian Church","007","Presbyterian Churches","60","11373 E Alameda Ave","Aurora, CO","80012-1023","(303)-748-7033 x 7271","13","10","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0255","217987","F","12/31/2025","0413","TRADITIONAL PROGRAM","Faith Presbyterian Church","007","Presbyterian Churches","196","11373 E Alameda Ave","Aurora, CO","80012-1023","(303)-748-7033 x 7271","54","11","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0308","126066","B","12/31/2025","0430","Combined Troop Pilot","Faith Presbyterian Church","007","Presbyterian Churches","828","11373 E Alameda Ave","Aurora, CO","80012-1023","(303)-748-7033 x 7271","25","18","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0308","359599","G","12/31/2025","0413","TRADITIONAL PROGRAM","Faith Presbyterian Church","007","Presbyterian Churches","80","11373 E Alameda Ave","Aurora, CO","80012-1023","(303)-748-7033 x 7271","8","10","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0257","313545","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends & Family of Pack 257","070","Groups of Citizens","672","8648 E Easter Pl","Centennial, CO","80112-1856","(720)-315-2289","39","5","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Pack 0351","318598","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends & Family of Pack 351","070","Groups of Citizens","565","6154 S Newark Way","Englewood, CO","80111-5850","(303)-601-3561","25","6","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 2010","78685","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends and Family of Pack 2010","227","Business and Industry, Unclassified","166","26641 E Arbor Dr","Aurora, CO","80016-6129","(303)-493-1854","37","17","BUS"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Crew 0604","36997","","12/31/2025","1008","HIGH ADVENTURE","Friends of Crew 604","070","Groups of Citizens","260","13911 W 74th Ave","Arvada, CO","80005-3006","(303)-905-9379","5","11","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Pack 0345","182288","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","732","258 Hampshire Ln","Castle Pines, CO","80108-4032","","18","7","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Pack 0354","225054","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","47","258 Hampshire Ln","Castle Pines, CO","80108-4032","","16","6","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Troop 0345","264941","B","12/31/2025","0430","Combined Troop Pilot","Friends of Former University Hills Optimist Club","070","Groups of Citizens","651","258 Hampshire Ln","Castle Pines, CO","80108-4032","","41","20","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Troop 0345","360279","G","12/31/2025","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","78","258 Hampshire Ln","Castle Pines, CO","80108-4032","","13","13","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0268","227028","F","12/31/2025","0413","TRADITIONAL PROGRAM","Friends of Former University Hills Optimist Club","070","Groups of Citizens","430","258 Hampshire Ln","Castle Pines, CO","80108-4032","","16","9","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0317","129523","B","12/31/2025","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","280","10455 W 6th Ave","Denver, CO","80215-5780","001-(303)-455-5522","20","9","FORN"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0012","171062","B","12/31/2025","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","524","10455 W 6th Ave","Denver, CO","80215-5780","001-(303)-455-5522","45","38","FORN"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0317","21639","B","12/31/2025","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","356","10455 W 6th Ave","Denver, CO","80215-5780","001-(303)-455-5522","26","19","FORN"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 1 3","Troop 0373","92370","B","12/31/2025","0413","TRADITIONAL PROGRAM","Homestead in the Willow HOA","073","Homeowners' Associations","554","5896 E Geddes Ave","Centennial, CO","80112-1552","(303)-793-0230","24","31","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0494","220907","B","12/31/2025","0413","TRADITIONAL PROGRAM","Lord of The Hills Lutheran  Church","008","Lutheran Churches","351","21755 E Smoky Hill Rd","Aurora, CO","80015-6752","(303)-617-9884","39","30","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0375","164901","F","12/31/2025","0413","TRADITIONAL PROGRAM","Lord of the Hills Lutheran Church","008","Lutheran Churches","463","21755 E Smoky Hill Rd","Centennial, CO","80015","001-(303)-617-9884","32","12","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 1532","335858","B","12/31/2025","0413","TRADITIONAL PROGRAM","Mango House","256","Non-profit Agencies","138","1532 Galena St Ste 300","Aurora, CO","80010-2236","(303)-984-4778","8","7","CIV"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0734","29208","F","12/31/2025","0413","TRADITIONAL PROGRAM","Meadowood Church","026","United Methodist Churches","196","16051 E Dartmouth Ave","Aurora, CO","80013-1914","(303)-690-2277","43","11","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Troop 0707","198361","B","12/31/2025","0413","TRADITIONAL PROGRAM","New Hope Community Church","011","Community Churches","406","17699 E Hampden Ave","Aurora, CO","80013-5214","(303)-690-0143","8","6","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Troop 0127","376369","B","11/30/2025","","","NexGen Resources","191","Utilities, Distributing Industries","12","5290 Dtc Pkwy","Greenwood Village, CO","80111-2765","001-(303)-923-2484","31","22","BUS"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0012","376086","F","10/31/2025","","","Optimist Club of Monaco South","102","Clubs, Organizations, Fraternal Grp., Unclassified","12","7675 S Grape Way","Centennial, CO","80122-3861","(303)-521-5120","14","8","FRAT"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0467","275689","F","12/31/2025","0413","TRADITIONAL PROGRAM","Optimist Club of Monaco South","102","Clubs, Organizations, Fraternal Grp., Unclassified","44","7675 S Grape Way","Centennial, CO","80122-3861","(303)-521-5120","5","5","FRAT"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Troop 0634","376402","B","11/30/2025","","","Optimist Club of Monaco South","102","Clubs, Organizations, Fraternal Grp., Unclassified","12","7675 S Grape Way","Centennial, CO","80122-3861","(303)-521-5120","27","13","FRAT"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","South 2","Pack 0131","143433","F","12/31/2025","0413","TRADITIONAL PROGRAM","South Denver 93 Temple Association","227","Business and Industry, Unclassified","327","350 S Broadway","Denver, CO","80209-1512","(303)-929-0227","36","11","BUS"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Pack 0770","260060","B","12/31/2025","0413","TRADITIONAL PROGRAM","St Thomas More Catholic Church","039","Roman Catholic Church and Affiliates","356","8035 S Quebec St","Englewood, CO","80112-3118","(303)-771-0431","34","9","CHUR"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","West 2 4","Troop 0770","64224","B","12/31/2025","0413","TRADITIONAL PROGRAM","St Thomas More Center","039","Roman Catholic Church and Affiliates","402","8035 S Quebec St","Centennial, CO","80112-3118","(303)-770-1155","23","13","CHUR"
