Report: Detailed Cub Scout Adventure Report
Council: Denver Area Council 061
Organization Name: Centennial 02
Reporting Period: From 01/01/2022 to 03/18/2022
Report Generated By: Richard Hall
Date Report Generated: 03/18/2022
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..Organization,MTD__Jan_2022,MTD__Feb_2022,MTD__Mar_2022,Total
"Pack 0015 (F)",8,17,0,25
"Pack 0030 (B)",20,5,0,25
"Pack 0052 (F)",20,17,1,38
"Pack 0106 (F)",24,55,1,80
"Pack 0113 (F)",53,39,21,113
"Pack 0131 (F)",13,24,2,39
"Pack 0255 (F)",13,11,6,30
"Pack 0257 (F)",2,5,0,7
"Pack 0317 (B)",10,24,10,44
"Pack 0375 (F)",32,22,20,74
"Pack 0630 (F)",37,15,1,53
"Pack 0725 (F)",25,9,0,34
"Pack 0770 (B)",13,27,19,59
"Pack 1127 (F)",18,23,0,41
"Pack 2010 (F)",86,81,1,168
