Report: Detailed Cub Scout Adventure Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Reporting Period: From 01/01/2025 to 12/31/2025
Report Generated By: Richard Hall
Date Report Generated: 04/04/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n00,youthqtt
"Centennial 02","Pack 0012 (F)","376086","0","8","0","0","0","0","0","0","0","0","0","0","8","14"
"Centennial 02","Pack 0015 (F)","36129","2","2","45","0","0","0","0","0","0","0","0","0","49","29"
"Centennial 02","Pack 0030 (B)","31487","0","32","0","0","0","0","0","0","0","0","0","0","32","19"
"Centennial 02","Pack 0113 (F)","162526","30","31","3","0","0","0","0","0","0","0","0","0","64","43"
"Centennial 02","Pack 0127 (F)","188961","12","16","13","0","0","0","0","0","0","0","0","0","41","30"
"Centennial 02","Pack 0131 (F)","143433","23","40","17","0","0","0","0","0","0","0","0","0","80","36"
"Centennial 02","Pack 0255 (F)","217987","23","78","63","2","0","0","0","0","0","0","0","0","166","54"
"Centennial 02","Pack 0257 (F)","313545","6","1","0","0","0","0","0","0","0","0","0","0","7","39"
"Centennial 02","Pack 0317 (B)","129523","5","31","7","0","0","0","0","0","0","0","0","0","43","20"
"Centennial 02","Pack 0375 (F)","164901","41","39","51","9","0","0","0","0","0","0","0","0","140","32"
"Centennial 02","Pack 0630 (F)","279200","41","27","18","24","0","0","0","0","0","0","0","0","110","37"
"Centennial 02","Pack 0725 (F)","75161","7","15","36","0","0","0","0","0","0","0","0","0","58","20"
"Centennial 02","Pack 0734 (F)","29208","17","25","50","0","0","0","0","0","0","0","0","0","92","43"
"Centennial 02","Pack 0770 (B)","260060","5","21","36","0","0","0","0","0","0","0","0","0","62","34"
"Centennial 02","Pack 0914 (F)","80478","77","45","88","25","0","0","0","0","0","0","0","0","235","71"
"Centennial 02","Pack 1127 (F)","29768","10","60","4","0","0","0","0","0","0","0","0","0","74","40"
"Centennial 02","Pack 2010 (F)","78685","58","45","49","2","0","0","0","0","0","0","0","0","154","37"
