Report: Detailed Cub Scout Advancement Report
Council: Denver Area Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2022 to 03/18/2022
Month-to-Date (MTD): From 03/01/2022 to 03/18/2022
Report Generated By: Richard Hall
Date Report Generated: 03/18/2022
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..District,Organization,Lion_MTD,Lion_YTD,Tiger_MTD,Tiger_YTD,Bobcat_MTD,Bobcat_YTD,Wolf_MTD,Wolf_YTD,Bear_MTD,Bear_YTD,Webelos_MTD,Webelos_YTD,Light_MTD,Light_YTD,Ranks_MTD,Ranks_YTD
"Centennial 02","Pack 0015 (F)",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4
"Centennial 02","Pack 0030 (B)",0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,10
"Centennial 02","Pack 0052 (F)",0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,10
"Centennial 02","Pack 0106 (F)",0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,6
"Centennial 02","Pack 0113 (F)",0,2,0,0,0,0,0,1,0,0,0,0,2,3,2,6
"Centennial 02","Pack 0131 (F)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Centennial 02","Pack 0255 (F)",0,1,0,0,1,2,0,0,0,0,1,3,0,0,2,6
"Centennial 02","Pack 0257 (F)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Centennial 02","Pack 0317 (B)",0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,12
"Centennial 02","Pack 0375 (F)",0,0,0,0,0,1,0,1,0,2,0,0,0,7,0,11
"Centennial 02","Pack 0630 (F)",0,0,0,0,0,1,0,0,0,0,0,1,1,5,1,7
"Centennial 02","Pack 0725 (F)",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3
"Centennial 02","Pack 0770 (B)",0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
"Centennial 02","Pack 1127 (F)",0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,9
"Centennial 02","Pack 2010 (F)",0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,16
"Centennial 02","Troop 0630 (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
