Report: Detailed Cub Scout Advancement Report
Council: Denver Area Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2022 to 12/31/2022
Month-to-Date (MTD): From 12/01/2022 to 12/31/2022
Report Generated By: Richard Hall
Date Report Generated: 10/10/2022
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..District,Organization,Lion_MTD,Lion_YTD,Tiger_MTD,Tiger_YTD,Bobcat_MTD,Bobcat_YTD,Wolf_MTD,Wolf_YTD,Bear_MTD,Bear_YTD,Webelos_MTD,Webelos_YTD,Arrow_of_Light_MTD,Arrow_of_Light_YTD,Ranks_MTD,Ranks_YTD,Current_Total_Youth_Membership
"Centennial 02","Centennial 02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial 02","Pack 0015 (F)",0,0,0,1,0,10,0,3,0,0,0,5,0,2,0,21,27
"Centennial 02","Pack 0030 (B)",0,2,0,4,0,5,0,3,0,5,0,2,0,5,0,26,23
"Centennial 02","Pack 0052 (F)",0,0,0,0,0,2,0,6,0,7,0,4,0,5,0,24,25
"Centennial 02","Pack 0106 (F)",0,5,0,6,0,12,0,0,0,9,0,3,0,5,0,40,33
"Centennial 02","Pack 0113 (F)",0,14,0,12,0,1,0,10,0,14,0,8,0,7,0,66,89
"Centennial 02","Pack 0127 (F)",0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,11,56
"Centennial 02","Pack 0131 (F)",0,6,0,9,0,5,0,1,0,2,0,0,0,1,0,24,63
"Centennial 02","Pack 0252 (F)",0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,7,17
"Centennial 02","Pack 0255 (F)",0,4,0,8,0,8,0,5,0,5,0,7,0,5,0,42,49
"Centennial 02","Pack 0257 (F)",0,4,0,0,0,3,0,3,0,0,0,0,0,2,0,12,32
"Centennial 02","Pack 0268 (F)",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,54
"Centennial 02","Pack 0317 (B)",0,5,0,3,0,8,0,3,0,5,0,0,0,4,0,28,21
"Centennial 02","Pack 0345 (B)",0,1,0,0,0,6,0,6,0,0,0,0,0,0,0,13,27
"Centennial 02","Pack 0351 (F)",0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,32
"Centennial 02","Pack 0354 (F)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Centennial 02","Pack 0375 (F)",0,5,0,2,0,8,0,6,0,6,0,3,0,7,0,37,37
"Centennial 02","Pack 0467 (F)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"Centennial 02","Pack 0630 (F)",0,1,0,4,0,3,0,3,0,1,0,3,0,5,0,20,23
"Centennial 02","Pack 0725 (F)",0,1,0,0,0,1,0,3,0,4,0,3,0,0,0,12,32
"Centennial 02","Pack 0734 (F)",0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,33
"Centennial 02","Pack 0770 (B)",0,1,0,5,0,10,0,8,0,2,0,7,0,2,0,35,40
"Centennial 02","Pack 0914 (F)",0,2,0,5,0,0,0,4,0,0,0,10,0,1,0,22,55
"Centennial 02","Pack 1127 (F)",0,4,0,1,0,6,0,5,0,6,0,10,0,6,0,38,49
"Centennial 02","Pack 2010 (F)",0,5,0,2,0,15,0,6,0,8,0,13,0,10,0,59,65
"Centennial 02","Troop 0113 (G)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26
"Centennial 02","Troop 0630 (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,27
"Centennial 02","Troop 0630 (G)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
"Centennial 02","Troop 0770 (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29
