Report: Detailed Cub Scout Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2025 to 12/31/2025
Month-to-Date (MTD): From 12/01/2025 to 12/31/2025
Report Generated By: Richard Hall
Date Report Generated: 04/04/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,lionmtd,lionytd,tigermtd,tigerytd,bobcatmtd,bobcatytd,wolfmtd,wolfytd,bearmtd,bearytd,webelosmtd,webelosytd,lightmtd,lightytd,ranksmtd,ranksytd,youthqtt
"Centennial 02","Centennial 02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","North 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Pack 0012 (F)","376086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Centennial 02","Pack 0015 (F)","36129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29"
"Centennial 02","Pack 0030 (B)","31487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Centennial 02","Pack 0113 (F)","162526","0","0","0","2","0","0","0","1","0","1","0","0","0","4","0","8","43"
"Centennial 02","Pack 0127 (F)","188961","0","2","0","0","0","0","0","0","0","3","0","0","0","3","0","8","30"
"Centennial 02","Pack 0131 (F)","143433","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","4","36"
"Centennial 02","Pack 0255 (F)","217987","0","1","0","0","0","0","0","0","0","0","0","4","0","2","0","7","54"
"Centennial 02","Pack 0257 (F)","313545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39"
"Centennial 02","Pack 0268 (F)","227028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Centennial 02","Pack 0317 (B)","129523","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","20"
"Centennial 02","Pack 0345 (F)","182288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Centennial 02","Pack 0351 (F)","318598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Centennial 02","Pack 0354 (F)","225054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Centennial 02","Pack 0375 (F)","164901","0","0","0","2","0","0","0","0","0","0","0","1","0","8","0","11","32"
"Centennial 02","Pack 0467 (F)","275689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Centennial 02","Pack 0630 (F)","279200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37"
"Centennial 02","Pack 0725 (F)","75161","0","1","0","0","0","0","0","3","0","0","0","0","0","1","0","5","20"
"Centennial 02","Pack 0734 (F)","29208","0","1","0","6","0","0","0","4","0","0","0","1","0","0","0","12","43"
"Centennial 02","Pack 0770 (B)","260060","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","34"
"Centennial 02","Pack 0914 (F)","80478","0","0","0","0","0","0","0","11","0","4","0","4","0","6","0","25","71"
"Centennial 02","Pack 1127 (F)","29768","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","3","40"
"Centennial 02","Pack 2010 (F)","78685","0","2","0","0","0","0","0","2","0","7","0","0","0","8","0","19","37"
"Centennial 02","South 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 1 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 2 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
