Report: Detailed Scouts BSA Advancement Report
Council: Denver Area Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2022 to 03/18/2022
Month-to-Date (MTD): From 03/01/2022 to 03/18/2022
Report Generated By: Richard Hall
Date Report Generated: 03/18/2022
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..District,Organization,Scout_MTD,Scout_YTD,Tenderfoot_MTD,Tenderfoot_YTD,Second_Class_MTD,Second_Class_YTD,First_Class_MTD,First_Class_YTD,Star_MTD,Star_YTD,Life_MTD,Life_YTD,Eagle_MTD,Eagle_YTD,Total_MTD,Total_YTD,Palms_MTD,Palms_YTD,Merit_Badges_MTD,Merit_Badges_YTD
"Centennial 02","Crew 0113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"Centennial 02","Crew 0308",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"Centennial 02","Troop 0012 (B)",0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,8,12
"Centennial 02","Troop 0113 (B)",0,0,0,0,0,3,0,1,0,3,0,2,0,0,0,9,0,0,10,37
"Centennial 02","Troop 0113 (G)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"Centennial 02","Troop 0120 (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Centennial 02","Troop 0171 (B)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"Centennial 02","Troop 0308 (B)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"Centennial 02","Troop 0308 (G)",0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,4,0,0,0,1
"Centennial 02","Troop 0317 (B)",0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,5,0,0,6,8
"Centennial 02","Troop 0345 (B)",0,0,0,0,0,1,1,2,2,4,1,3,1,1,5,11,0,0,14,47
"Centennial 02","Troop 0345 (G)",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3
"Centennial 02","Troop 0373 (B)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
"Centennial 02","Troop 0457 (B)",0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,0,1,43
"Centennial 02","Troop 0457 (G)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,5
"Centennial 02","Troop 0494 (B)",0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,3,2,2,0,3
"Centennial 02","Troop 0630 (B)",0,0,0,2,5,6,0,0,0,0,0,0,0,0,5,8,0,0,9,23
"Centennial 02","Troop 0630 (G)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Centennial 02","Troop 0641 (B)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"Centennial 02","Troop 0707 (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Centennial 02","Troop 0770 (B)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
"Centennial 02","Troop 0839 (B)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
