Report: Detailed Venturing Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2023 to 12/31/2023
Month-to-Date (MTD): From 12/01/2023 to 12/31/2023
Report Generated By: Richard Hall
Date Report Generated: 06/01/2023
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..District,Organization,Discovery_Award_MTD,Discovery_Award_YTD,Pathfinder_Award_MTD,Pathfinder_Award_YTD,Summit_Award_MTD,Summit_Award_YTD,Venturing_Award_MTD,Venturing_Award_YTD,Total_MTD,Total_YTD,Current_Total_Youth_Membership
"Centennial 02","Centennial 02",0,0,0,0,0,0,0,0,0,0,0
"Centennial 02","Crew 0113",0,0,0,0,0,0,0,0,0,0,2
"Centennial 02","Crew 0308",0,0,0,0,0,0,0,2,0,2,12
"Centennial 02","Crew 0563",0,1,0,1,0,0,0,0,0,2,14
"Centennial 02","Crew 0604",0,1,0,1,0,0,0,1,0,3,16
"Centennial 02","Crew 0839",0,0,0,0,0,0,0,0,0,0,7
"Centennial 02","Crew 1532",0,0,0,0,0,0,0,0,0,0,4
"Centennial 02","North 1",0,0,0,0,0,0,0,0,0,0,0
"Centennial 02","South 2",0,0,0,0,0,0,0,0,0,0,0
"Centennial 02","West 1 3",0,0,0,0,0,0,0,0,0,0,0
"Centennial 02","West 2 4",0,0,0,0,0,0,0,0,0,0,0
