lion,tiger,bobcat,wolf,bear,webelos,aol,Date,YTD,Male Youth,Female Youth,Youth,Unit,LDS,Gender,Sub-District
,0,0,0,0,0,0,2015,0,8,,8,Pack 0002-BP,,,
,0,2,1,0,2,2,2015,7,23,,23,Pack 0006-BP,,,3
,0,6,2,3,2,0,2016,13,16,,16,Pack 0006-BP,,,3
,0,3,2,0,2,4,2017,11,19,,19,Pack 0006-BP,,,3
0,0,0,1,3,3,0,2018,7,12,,12,Pack 0006-BP,,,3
0,0,0,0,0,2,1,2019,3,12,0,12,Pack 0006-BP,Y,BP,3
,0,0,8,0,0,0,2015,8,62,,62,Pack 0015-FP,,,2
,8,31,6,11,5,0,2016,61,62,,62,Pack 0015-FP,,,2
,4,1,4,0,3,0,2017,12,69,,69,Pack 0015-FP,,,2
5,12,19,13,8,7,5,2018,69,62,,62,Pack 0015-FP,,,2
3,6,4,8,10,9,1,2019,41,56,10,66,Pack 0015-FP,N,FP,2
3,0,7,8,3,0,9,2020,30,36,9,45,Pack 0015-FP,N,FP,
0,0,0,1,0,1,2,2021,4,23,5,28,Pack 0015-FP,N,FP,
,4,0,7,4,6,1,2015,22,48,,48,Pack 0030-BP,,,2
,4,5,2,5,2,0,2016,18,49,,49,Pack 0030-BP,,,2
,0,3,4,1,0,1,2017,9,47,,47,Pack 0030-BP,,,2
2,7,4,5,7,4,9,2018,38,37,,37,Pack 0030-BP,,,2
2,2,17,2,7,2,4,2019,36,46,0,46,Pack 0030-BP,N,BP,2
0,4,0,0,4,1,3,2020,12,30,0,30,Pack 0030-BP,N,BP,
0,0,3,0,0,0,3,2021,6,22,0,22,Pack 0030-BP,N,BP,
,8,1,4,8,3,7,2015,31,26,,26,Pack 0052-BP,,,2
,4,1,11,3,2,3,2016,24,48,,48,Pack 0052-BP,,,2
,0,14,8,6,1,0,2017,29,47,,47,Pack 0052-BP,,,2
3,6,11,5,6,9,7,2018,47,49,,49,Pack 0052-BP,,,2
7,5,13,6,4,6,5,2019,46,41,0,41,Pack 0052-BP,N,BP,2
1,7,4,6,6,7,5,2020,36,40,0,40,Pack 0052-BP,N,BP,
0,0,3,0,0,0,5,2021,8,31,0,31,Pack 0052-BP,N,BP,
0,0,0,0,0,0,0,2020,0,31,0,31,Pack 0055-BP,N,BP,
0,0,0,0,0,0,0,2021,0,10,0,10,Pack 0055-BP,N,BP,
,0,0,0,0,0,0,2016,0,7,,7,Pack 0075-BP,,,
,0,0,0,0,0,0,2015,0,110,,110,Pack 0100-BP,,,
,0,0,0,0,0,0,2016,0,,,0,Pack 0100-BP,,,
,1,1,7,9,0,4,2015,22,20,,20,Pack 0106-FP,,,2
,0,0,0,0,0,4,2016,4,26,,26,Pack 0106-FP,,,2
,6,7,0,3,0,0,2017,16,31,,31,Pack 0106-FP,,,2
4,5,17,8,2,4,4,2018,44,40,,40,Pack 0106-FP,,,2
6,6,23,7,5,4,2,2019,53,45,1,46,Pack 0106-FP,N,BP,2
0,4,3,3,4,5,5,2020,24,38,3,41,Pack 0106-FP,N,FP,
