Scout,Tenderfoot,SecondClass,FirstClass,Star,Life,Eagle,Palms,MeritBadge,Date,YTD,Male_Youth,Female_Youth,Youth,Unit,LDS,Gender,Sub-District
,17,7,4,4,1,1,0,169,2015,34,74,,74,Troop 0003-BT,,,1
,2,2,0,1,0,0,0,14,2015,5,19,,19,Troop 0006-BT,,,3
,8,2,3,2,0,2,2,115,2015,17,85,,85,Troop 0012-BT,,,2
,0,3,3,0,1,0,0,33,2015,7,18,,18,Troop 0030-BT,,,1
,8,10,8,4,6,4,0,177,2015,40,85,,85,Troop 0113-BT,,,2
,8,6,4,2,2,0,1,58,2015,22,24,,24,Troop 0120-BT,,,1
,18,6,9,5,7,4,0,269,2015,49,129,,129,Troop 0127-BT,,,1
,0,0,0,0,0,0,0,13,2015,0,22,,22,Troop 0142-BT,,,4
,7,6,3,3,1,1,0,30,2015,21,23,,23,Troop 0145-BT,,,4
,4,3,3,0,1,0,0,26,2015,11,17,,17,Troop 0148-BT,,,4
,2,3,2,2,1,2,0,35,2015,12,33,,33,Troop 0171-BT,,,2
,2,0,0,0,0,0,0,8,2015,2,13,,13,Troop 0248-BT,,,3
,0,2,3,1,2,0,1,71,2015,8,11,,11,Troop 0267-BT,,,2
,3,3,4,4,2,1,0,64,2015,17,18,,18,Troop 0308-BT,,,2
,2,1,0,1,7,4,0,62,2015,15,27,,27,Troop 0317-BT,,,1
,3,6,1,1,1,2,0,53,2015,14,22,,22,Troop 0375-BT,,,2
,0,0,0,0,0,0,0,0,2015,0,17,,17,Troop 0392-BT,,,3
,0,0,0,0,0,0,0,1,2015,0,8,,8,Troop 0439-BT,,,1
,13,3,3,1,3,2,1,81,2015,25,30,,30,Troop 0494-BT,,,1
,3,3,4,7,10,5,2,150,2015,32,37,,37,Troop 0630-BT,,,2
,1,2,1,1,1,1,0,29,2015,7,13,,13,Troop 0641-BT,,,1
,3,2,0,1,4,1,0,71,2015,11,27,,27,Troop 0644-BT,,,2
,1,0,0,1,2,1,0,17,2015,5,21,,21,Troop 0707-BT,,,1
,1,0,0,1,1,0,0,13,2015,3,12,,12,Troop 0710-BT,,,3
,0,0,0,0,0,0,0,0,2015,0,18,,18,Troop 0715-BT,,,4
,1,2,2,1,0,0,0,22,2015,6,16,,16,Troop 0716-BT,,,3
,3,2,1,2,2,0,0,34,2015,10,13,,13,Troop 0718-BT,,,5
,4,5,5,0,0,0,0,39,2015,14,23,,23,Troop 0719-BT,,,4
,2,2,1,2,2,0,0,12,2015,9,30,,30,Troop 0732-BT,,,3
,3,3,2,2,1,0,0,3,2015,11,11,,11,Troop 0733-BT,,,5
