Report: Unit-Based Membership Totals Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Report Generated By: Richard Hall
Date Report Generated: 02/01/2024
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..Service_Territory,Council_Name,District_Name,Unit,Gender,Chartered_Org,Male_Youth_Today,Female_Youth_Today,Total_Youth_Today,Total_Youth_in_Feb__2023,Male_Adults_Today,Female_Adults_Today,Total_Adults_Today,Total_Adults_in_Feb__2023,Expire_Date
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 113","","St. Martin-in-the-Fields Episcopal Church",2,0,2,2,2,2,4,4,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 308","","Faith Presbyterian Church",3,3,6,4,5,2,7,6,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 563","","Centennial Gun Club",4,3,7,11,8,7,15,12,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 604","","Friends of Crew 604",1,4,5,5,8,5,13,10,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 839","","All Saints Luthern Church",3,0,3,3,3,2,5,5,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew 1532","","Mango House",6,0,6,4,4,2,6,6,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Crew Total","6","",19,10,29,29,30,20,50,43,""
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 15","F","Aurora Gateway Rotary Club",13,9,22,23,5,1,6,10,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 30","B","Bennett Watkins Lions Club",22,0,22,17,1,5,6,8,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 52","F","Buffalo Trails Parents & Friends of 52",4,0,4,20,7,2,9,10,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 106","F","Aurora Fitzsimons Rotary Club",5,0,5,22,3,3,6,8,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 113","F","St. Martin-in-the-Fields Episcopal Church",52,13,65,44,8,5,13,12,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 127","F","American Legion Leyden Chiles Wickersham Post #1",46,12,58,45,9,7,16,13,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 131","F","South Denver 93 Temple Association",51,2,53,47,11,3,14,14,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 252","F","Peakview Parents & Friends of Pack 252",0,0,0,13,1,4,5,6,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 255","F","Faith Presbyterian Church",30,11,41,33,5,6,11,15,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 257","F","Friends & Family of Pack 257",21,7,28,23,3,4,7,7,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 268","F","University Hills Optimist Club",31,0,31,29,6,4,10,7,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 317","B","Greater Colorado Council",31,0,31,17,7,1,8,7,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 345","F","University Hills Optimist Club",16,0,16,18,1,0,1,2,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 351","F","Friends & Family of Pack 351",19,1,20,17,1,4,5,3,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 354","F","University Hills Optimist Club",27,6,33,27,5,2,7,7,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 375","F","Lord of the Hills Lutheran Church",56,3,59,32,10,6,16,13,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 467","F","Friends of Scouting in Willow Creek, Inc",14,5,19,24,5,1,6,6,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 630","F","Christ The Savior Lutheran Church",18,5,23,10,6,3,9,7,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 674","F","Optimist Club of Monaco South",12,2,14,0,3,1,4,0,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 725","F","Aurora Academy",15,9,24,17,2,2,4,7,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 734","F","Meadowood Church",14,2,16,17,4,6,10,8,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 770","B","St Thomas More Catholic Church",49,0,49,39,10,2,12,11,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 914","F","Aurora Chamber of Commerce",54,12,66,38,9,3,12,12,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 1127","F","Aurora Chamber of Commerce",50,0,50,36,6,7,13,13,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack 2010","F","Friends and Family of Pack 2010",45,7,52,49,8,6,14,13,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Pack Total","25","",695,106,801,657,136,88,224,219,""
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Post 25","","Arapahoe County Sheriffs Department",5,4,9,9,2,2,4,4,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Post 2024","","Aurora Police Department",5,5,10,9,4,0,4,4,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Post 3243","","Federal Bureau of Investigation Denver",5,15,20,20,3,4,7,7,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Post Total","3","",15,24,39,38,9,6,15,15,""
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 12","B","Greater Colorado Council",42,0,42,38,17,5,22,17,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 30","B","Trivalley VFW Post 8449",8,0,8,8,3,5,8,8,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 113","B","St. Martin-in-the-Fields Episcopal Church",91,0,91,77,32,15,47,40,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 113","G","St. Martin-in-the-Fields Episcopal Church",0,23,23,20,3,7,10,8,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 120","B","Colorado National Guard Friends of Scouting",5,0,5,5,5,2,7,8,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 127","B","St Matthews Episcopal Church",25,0,25,19,7,3,10,10,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 171","B","TH Training and Advocacy",5,0,5,10,4,2,6,6,"12/31/2023"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 308","B","Faith Presbyterian Church",17,0,17,16,8,4,12,9,"12/31/2024"
"Service Territory 02","Greater Colorado Council 061","Centennial 02","Troop 308","G","Faith Presbyterian Church",0,9,9,7,2,2,4,5,"12/31/2024"
