Report: Unit-Based Membership Totals Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Report Generated By: Richard Hall
Date Report Generated: 08/31/2024
..
"This roster information is to be used only for authorized purposes on behalf of the Boy Scouts of America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..Service_Territory,Council_Name,District_Name,Unit,Gender,Chartered_Org,Male_Youth_Today,Female_Youth_Today,Total_Youth_Today,Total_Youth_in_Aug__2023,Male_Adults_Today,Female_Adults_Today,Total_Adults_Today,Total_Adults_in_Aug__2023,Expire_Date
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 113","","",0,0,0,2,0,0,0,4,""
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 308","","Faith Presbyterian Church",4,3,7,4,3,2,5,6,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 563","","Centennial Gun Club",4,2,6,11,8,7,15,12,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 604","","Friends of Crew 604",1,4,5,5,7,4,11,13,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 839","","All Saints Luthern Church",4,0,4,3,0,1,1,5,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew 1532","","Mango House",2,0,2,4,0,2,2,6,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Crew Total","5","",15,9,24,29,18,16,34,46,""
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 15","F","Aurora Gateway Rotary Club",14,10,24,26,5,2,7,8,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 30","B","Bennett Watkins Lions Club",25,0,25,18,2,5,7,8,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 52","F","",0,0,0,19,0,0,0,10,""
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 106","F","",0,0,0,5,0,0,0,6,""
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 113","F","St. Martin-in-the-Fields Episcopal Church",46,11,57,65,8,5,13,17,"12/31/2024"
"Service Territory 05","Greater Colorado Council 061","Centennial 02","Pack 127","F","American Legion Post 1976",25,11,36,52,8,7,15,13,"12/31/2024"
