..DistrictName,Unit,Gender,Chartered_Org,Male_Youth,Female_Youth,Total_Youth,Male_Adults,Female_Adults,Total_Adults,Expire_Date
Centennial 02,Crew 0113-NA,,Smoky Hill United Methodist Church,1,5,6,3,4,7,12/31/2020
Centennial 02,Crew 0563-NA,,Centennial Gun Club,9,4,13,6,6,12,12/31/2020
Centennial 02,Crew 0604-NA,,Friends of Crew 604,1,1,2,6,3,9,12/31/2020
Centennial 02,Crew 0839-NA,,All Saints Luthern Church,5,0,5,2,3,5,12/31/2020
Centennial 02,Crew 1532-NA,,Mango House,5,0,5,0,2,2,12/31/2020
Centennial 02,Pack 0015-FP,F,Aurora Gateway Rotary Club,36,9,45,10,11,21,12/31/2020
Centennial 02,Pack 0030-BP,B,Bennett Watkins Lions Club,30,0,30,3,6,9,12/31/2020
Centennial 02,Pack 0052-BP,B,Buffalo Trails Parents & Friends of 52,40,0,40,5,5,10,12/31/2020
Centennial 02,Pack 0055-BP,B,Cherry Hills Village Friends of Scouting,31,0,31,1,0,1,12/31/2020
Centennial 02,Pack 0106-FP,F,Aurora Fitzsimons Rotary Club,38,3,41,8,6,14,12/31/2020
Centennial 02,Pack 0113-FP,F,Smoky Hill United Methodist Church,39,10,49,6,0,6,12/31/2020
Centennial 02,Pack 0127-FP,F,American Legion Post 1976,53,4,57,5,4,9,12/31/2020
Centennial 02,Pack 0131-FP,F,South Denver 93 Temple Association,54,11,65,12,3,15,12/31/2020
Centennial 02,Pack 0222-FP,F,Cherry Creek Academy,15,2,17,3,2,5,12/31/2020
Centennial 02,Pack 0252-FP,F,Peakview Parents & Friends of Pack 252,41,0,41,3,5,8,12/31/2020
Centennial 02,Pack 0255-FP,F,Faith Presbyterian Church,36,16,52,12,7,19,12/31/2020
Centennial 02,Pack 0257-FP,F,Friends & Family of Pack 257,28,5,33,3,5,8,12/31/2020
Centennial 02,Pack 0268-FP,F,University Hills Optimist Club,38,2,40,4,3,7,12/31/2020
Centennial 02,Pack 0317-BP,B,Our Lady Of Loreto Catholic Church,15,0,15,4,1,5,12/31/2020
Centennial 02,Pack 0345-BP,B,University Hills Optimist Club,26,2,28,3,2,5,12/31/2020
Centennial 02,Pack 0351-BP,B,Friends & Family of Pack 351,54,0,54,1,1,2,12/31/2020
Centennial 02,Pack 0354-FP,F,Denver Tech Center Rotary,21,5,26,5,1,6,12/31/2020
Centennial 02,Pack 0375-FP,F,Rotary Club of Smoky Hill,45,5,50,7,3,10,12/31/2020
Centennial 02,Pack 0439-FP,F,American Legion Post #183,15,0,15,3,2,5,12/31/2020
Centennial 02,Pack 0467-FP,F,"Friends of Scouting in Willow Creek, Inc",56,0,56,8,2,10,12/31/2020
Centennial 02,Pack 0630-FP,F,Ponderosa Elementary School PTCO,24,6,30,5,6,11,12/31/2020
Centennial 02,Pack 0646-FP,F,Aurora Chamber of Commerce,18,1,19,5,5,10,12/31/2020
Centennial 02,Pack 0674-FP,F,Dry Creek Elementary PTCO,22,0,22,4,6,10,12/31/2020
Centennial 02,Pack 0717-BP,B,Jon-Don,5,0,5,0,0,0,12/31/2020
Centennial 02,Pack 0725-FP,F,Aurora Academy,27,6,33,5,8,13,12/31/2020
Centennial 02,Pack 0734-BP,B,Meadowood Church,28,3,31,5,2,7,12/31/2020
Centennial 02,Pack 0735-FP,F,Holy Love Lutheran Church,9,4,13,2,3,5,12/31/2020
Centennial 02,Pack 0749-FP,F,WI3GND Ham Radio Club,15,3,18,2,4,6,12/31/2020
Centennial 02,Pack 0770-BP,B,St Thomas More Catholic Church,43,0,43,14,4,18,12/31/2020
Centennial 02,Pack 0914-FP,F,Aurora Chamber of Commerce,44,2,46,7,3,10,12/31/2020
Centennial 02,Pack 1127-FP,F,Aurora Chamber of Commerce,56,1,57,7,8,15,12/31/2020
Centennial 02,Pack 2010-FP,F,Friends and Family of Pack 2010,54,6,60,10,5,15,12/31/2020
Centennial 02,Troop 0003-BT,B,Rocky Mountain Radio League,21,0,21,12,2,14,12/31/2020
Centennial 02,Troop 0009-BT,B,Parents of Troop 9,19,1,20,4,1,5,12/31/2020
Centennial 02,Troop 0012-BT,B,St Michael Men's Club,51,0,51,12,5,17,12/31/2020
Centennial 02,Troop 0030-BT,B,Trivalley VFW Post 8449,6,0,6,2,2,4,12/31/2020
Centennial 02,Troop 0113-BT,B,Smoky Hill United Methodist Church,76,0,76,37,21,58,12/31/2020
Centennial 02,Troop 0113-GT,G,Smoky Hill United Methodist Church,0,15,15,3,4,7,12/31/2020
Centennial 02,Troop 0120-BT,B,Colorado National Guard Friends of Scouting,14,0,14,10,8,18,12/31/2020
Centennial 02,Troop 0127-BT,B,St Matthews Episcopal Church,56,0,56,11,6,17,12/31/2020
Centennial 02,Troop 0142-BT,B,Carlson Associates Inc,9,0,9,4,0,4,12/31/2020
Centennial 02,Troop 0171-BT,B,WI3GND Ham Radio Club,24,0,24,4,4,8,12/31/2020
Centennial 02,Troop 0257-BT,B,Walnut Hills Civic Association,7,0,7,5,3,8,12/31/2020
Centennial 02,Troop 0308-BT,B,Faith Presbyterian Church,27,0,27,10,7,17,12/31/2020
Centennial 02,Troop 0308-GT,G,Faith Presbyterian Church,0,8,8,1,2,3,12/31/2020
Centennial 02,Troop 0317-BT,B,Our Lady Of Loreto Catholic Church,23,0,23,10,3,13,12/31/2020
Centennial 02,Troop 0345-BT,B,University Hills Optimist Club,80,0,80,19,9,28,12/31/2020
Centennial 02,Troop 0345-GT,G,University Hills Optimist Club,0,13,13,1,0,1,12/31/2020
Centennial 02,Troop 0373-BT,B,Homestead in the Willow HOA,67,0,67,26,8,34,12/31/2020
Centennial 02,Troop 0375-BT,B,American Legion Post #1992,12,0,12,4,4,8,12/31/2020
Centennial 02,Troop 0439-BT,B,American Legion Post #183,9,0,9,6,6,12,12/31/2020
Centennial 02,Troop 0457-BT,B,"Troop 457 of Greenwood Village,Inc.",56,0,56,36,8,44,12/31/2020
Centennial 02,Troop 0457-GT,G,"Scout, Crew, Troops and Packs of Colorado",0,10,10,1,2,3,12/31/2020
Centennial 02,Troop 0494-BT,B,Lord of The Hills Lutheran  Church,37,0,37,14,3,17,12/31/2020
Centennial 02,Troop 0630-BT,B,Christ The Savior Lutheran Church,26,0,26,13,4,17,12/31/2020
Centennial 02,Troop 0630-GT,G,Christ The Savior Lutheran Church,0,8,8,4,7,11,12/31/2020
Centennial 02,Troop 0634-BT,B,"Friends of Scouting in Willow Creek, Inc",40,0,40,16,5,21,12/31/2020
Centennial 02,Troop 0641-BT,B,Smoky Hill Rotary,9,0,9,4,3,7,12/31/2020
Centennial 02,Troop 0644-BT,B,Mountain View United Church,9,0,9,10,1,11,12/31/2020
Centennial 02,Troop 0707-BT,B,New Hope Community Church,28,0,28,7,3,10,12/31/2020
Centennial 02,Troop 0717-BT,B,Jon-Don,13,0,13,0,0,0,12/31/2020
Centennial 02,Troop 0770-BT,B,St Thomas More Center,29,0,29,6,0,6,12/31/2020
Centennial 02,Troop 0839-BT,B,All Saints Lutheran Church,11,0,11,14,5,19,12/31/2020
Centennial 02,Troop 1532-BT,B,Mango House,36,0,36,7,0,7,12/31/2020
