Report: Detailed Scouts BSA Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2025 to 12/31/2025
Month-to-Date (MTD): From 12/01/2025 to 12/31/2025
Report Generated By: Richard Hall
Date Report Generated: 05/30/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,scoutmtd,scoutytd,tenderfootmtd,tenderfootytd,secondclassmtd,secondclassytd,firstclassmtd,firstclassytd,starmtd,starytd,lifemtd,lifeytd,eaglemtd,eagleytd,totalmtd,totalytd,palmsmtd,palmsytd,meritbadgesmtd,meritbadgesytd,youthqtt
"Centennial 02","Centennial 02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","North 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","South 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Troop 0012 (B)","171062","0","0","0","4","0","1","0","0","0","4","0","4","0","1","0","14","0","4","0","31","46"
"Centennial 02","Troop 0030 (B)","96878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Centennial 02","Troop 0113 (B)","316509","0","2","0","0","0","4","0","2","0","2","0","2","0","1","0","13","0","1","0","44","65"
"Centennial 02","Troop 0113 (G)","358544","0","5","0","2","0","2","0","1","0","2","0","0","0","1","0","13","0","0","0","35","30"
"Centennial 02","Troop 0120 (B)","155614","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","8"
"Centennial 02","Troop 0127 (B)","376369","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","31"
"Centennial 02","Troop 0127 (B)","146724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Centennial 02","Troop 0308 (B)","126066","0","3","0","0","0","1","0","0","0","1","0","0","0","0","0","5","0","0","0","59","26"
"Centennial 02","Troop 0308 (G)","359599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Centennial 02","Troop 0317 (B)","21639","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","4","0","0","0","12","34"
"Centennial 02","Troop 0345 (B)","264941","0","2","0","1","0","2","0","3","0","0","0","0","0","6","0","14","0","7","0","62","45"
"Centennial 02","Troop 0345 (G)","360279","0","2","0","1","0","1","0","1","0","0","0","1","0","2","0","8","0","1","0","8","15"
"Centennial 02","Troop 0373 (B)","92370","0","2","0","0","0","0","0","2","0","1","0","1","0","0","0","6","0","0","0","11","25"
"Centennial 02","Troop 0494 (B)","220907","0","5","0","1","0","2","0","2","0","0","0","1","0","2","0","13","0","4","0","29","40"
"Centennial 02","Troop 0630 (B)","219326","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","15","28"
"Centennial 02","Troop 0630 (G)","358759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4"
"Centennial 02","Troop 0634 (B)","250328","0","0","0","0","0","1","0","1","0","0","0","2","0","2","0","6","0","1","0","9","0"
"Centennial 02","Troop 0634 (B)","376402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29"
"Centennial 02","Troop 0707 (B)","198361","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","6","8"
"Centennial 02","Troop 0770 (B)","64224","0","0","0","1","0","0","0","2","0","2","0","0","0","4","0","9","0","9","0","21","24"
"Centennial 02","Troop 0839 (B)","176707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Centennial 02","Troop 1532 (B)","335858","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8"
"Centennial 02","West 1 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 2 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
