Report: Detailed Cub Scout Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2025 to 12/31/2025
Month-to-Date (MTD): From 12/01/2025 to 12/31/2025
Report Generated By: Richard Hall
Date Report Generated: 05/30/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,lionmtd,lionytd,tigermtd,tigerytd,bobcatmtd,bobcatytd,wolfmtd,wolfytd,bearmtd,bearytd,webelosmtd,webelosytd,lightmtd,lightytd,ranksmtd,ranksytd,youthqtt
"Centennial 02","Centennial 02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","North 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Pack 0012 (F)","376086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Centennial 02","Pack 0015 (F)","36129","0","1","0","1","0","0","0","7","0","6","0","3","0","5","0","23","28"
"Centennial 02","Pack 0030 (B)","31487","0","0","0","7","0","0","0","0","0","0","0","4","0","3","0","14","17"
"Centennial 02","Pack 0113 (F)","162526","0","6","0","3","0","0","0","6","0","8","0","4","0","5","0","32","43"
"Centennial 02","Pack 0127 (F)","188961","0","4","0","0","0","0","0","0","0","3","0","4","0","3","0","14","32"
"Centennial 02","Pack 0131 (F)","143433","0","1","0","5","0","0","0","5","0","9","0","6","0","3","0","29","38"
"Centennial 02","Pack 0255 (F)","217987","0","1","0","3","0","0","0","9","0","6","0","5","0","2","0","26","52"
"Centennial 02","Pack 0257 (F)","313545","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","34"
"Centennial 02","Pack 0268 (F)","227028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Centennial 02","Pack 0317 (B)","129523","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","10","17"
"Centennial 02","Pack 0345 (F)","182288","0","1","0","2","0","0","0","2","0","3","0","1","0","3","0","12","16"
"Centennial 02","Pack 0351 (F)","318598","0","1","0","7","0","0","0","3","0","5","0","1","0","4","0","21","22"
"Centennial 02","Pack 0354 (F)","225054","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","17"
"Centennial 02","Pack 0375 (F)","164901","0","0","0","5","0","0","0","5","0","7","0","8","0","8","0","33","34"
"Centennial 02","Pack 0467 (F)","275689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Centennial 02","Pack 0630 (F)","279200","0","3","0","3","0","0","0","9","0","4","0","5","0","3","0","27","38"
"Centennial 02","Pack 0725 (F)","75161","0","1","0","0","0","0","0","4","0","1","0","1","0","1","0","8","21"
"Centennial 02","Pack 0734 (F)","29208","0","2","0","8","0","0","0","5","0","4","0","2","0","0","0","21","43"
"Centennial 02","Pack 0770 (B)","260060","0","0","0","4","0","0","0","4","0","8","0","6","0","4","0","26","35"
"Centennial 02","Pack 0914 (F)","80478","0","9","0","9","0","0","0","14","0","11","0","12","0","6","0","61","66"
"Centennial 02","Pack 1127 (F)","29768","0","0","0","13","0","0","0","7","0","6","0","6","0","2","0","34","40"
"Centennial 02","Pack 2010 (F)","78685","0","4","0","6","0","0","0","3","0","14","0","5","0","8","0","40","38"
"Centennial 02","South 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 1 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 2 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
