Report: Detailed Cub Scout Adventure Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Reporting Period: From 01/01/2025 to 12/31/2025
Report Generated By: Richard Hall
Date Report Generated: 05/30/2025
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n00,youthqtt
"Centennial 02","Pack 0012 (F)","376086","0","8","0","0","0","0","0","0","0","0","0","0","8","14"
"Centennial 02","Pack 0015 (F)","36129","2","2","50","59","73","0","0","0","0","0","0","0","186","28"
"Centennial 02","Pack 0030 (B)","31487","0","33","0","0","103","0","0","0","0","0","0","0","136","17"
"Centennial 02","Pack 0113 (F)","162526","37","54","33","76","26","0","0","0","0","0","0","0","226","43"
"Centennial 02","Pack 0127 (F)","188961","12","24","13","22","6","0","0","0","0","0","0","0","77","32"
"Centennial 02","Pack 0131 (F)","143433","35","60","23","68","4","0","0","0","0","0","0","0","190","38"
"Centennial 02","Pack 0255 (F)","217987","23","78","63","85","36","0","0","0","0","0","0","0","285","52"
"Centennial 02","Pack 0257 (F)","313545","6","9","8","8","4","0","0","0","0","0","0","0","35","34"
"Centennial 02","Pack 0317 (B)","129523","5","31","7","15","0","0","0","0","0","0","0","0","58","17"
"Centennial 02","Pack 0345 (F)","182288","0","0","0","37","74","0","0","0","0","0","0","0","111","16"
"Centennial 02","Pack 0351 (F)","318598","0","0","0","170","0","0","0","0","0","0","0","0","170","22"
"Centennial 02","Pack 0354 (F)","225054","0","0","40","0","0","0","0","0","0","0","0","0","40","17"
"Centennial 02","Pack 0375 (F)","164901","42","40","58","64","51","0","0","0","0","0","0","0","255","34"
"Centennial 02","Pack 0630 (F)","279200","42","31","19","64","15","0","0","0","0","0","0","0","171","38"
"Centennial 02","Pack 0725 (F)","75161","7","15","39","22","18","0","0","0","0","0","0","0","101","21"
"Centennial 02","Pack 0734 (F)","29208","24","36","70","45","11","0","0","0","0","0","0","0","186","43"
"Centennial 02","Pack 0770 (B)","260060","17","21","43","31","41","0","0","0","0","0","0","0","153","35"
"Centennial 02","Pack 0914 (F)","80478","95","74","114","108","0","0","0","0","0","0","0","0","391","66"
"Centennial 02","Pack 1127 (F)","29768","10","68","20","30","44","0","0","0","0","0","0","0","172","40"
"Centennial 02","Pack 2010 (F)","78685","62","45","49","81","46","0","0","0","0","0","0","0","283","38"
