Report: Chartered Organizations Report
Council: Greater Colorado Council 061 
Organization Name: Centennial 02
Reporting period: Now
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..territoryname,councilname,subcouncilname,districtname,subdistrictname,unitname,unitid,genderaccepted,expirydtstr,specialinteresttypecode,specialinteresttype,communityorganization,communityorganizationtypecode,communityorganizationtype,tenure,address,citystate,zip,phone,qttyouth,qttadultvolunteers,communityorganizationtypeshort,ciscouncilpaid
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Crew 0308","365984","","12/31/2026","1015","RANGER-PARK/FOREST/CAMP","Faith Presbyterian Church","007","Presbyterian Churches","72","11373 E Alameda Ave","Aurora, CO","80012-1023","(303)-748-7033 x 7271","9","10","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Crew 0839","355801","","12/31/2026","1004","CAMPING/BACKPACKING/HIKING","All Saints Luthern Church","008","Lutheran Churches","102","15625 E Iliff Ave","Aurora, CO","80013-1110","(303)-752-4083","4","13","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0015","36129","F","12/31/2026","0413","TRADITIONAL PROGRAM","Greater Colorado Council","","BSA Council","220","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","39","9","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0025","379009","F","10/31/2026","0450","Unit Growth Executive","Greater Colorado Council","","BSA Council","12","10455 W 6th Ave, STE 100","Denver, CO","80215-5780","001-(303)-455-5522","13","6","FORN","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0030","31487","F","12/31/2026","0413","TRADITIONAL PROGRAM","Bennett Watkins Lions Club","227","Business and Industry, Unclassified","542","301 S County Road 137","Bennett, CO","80102-8640","(303)-908-0796","22","7","BUS","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0255","217987","F","12/31/2026","0413","TRADITIONAL PROGRAM","Colorado National Guard","051","Air National Guard","208","140 Wg/Cc, Stop 37, Buckley Ang Base","Aurora, CO","80011-9599","(303)-677-9555","41","17","MIL","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0630","279200","F","12/31/2026","0413","TRADITIONAL PROGRAM","Christ The Savior Lutheran Church","008","Lutheran Churches","666","1092 S Nome St","Aurora, CO","80012-3250","(720)-428-9180","34","11","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0725","75161","F","12/31/2026","0413","TRADITIONAL PROGRAM","Aurora Academy","122","Private Schools,Academies","250","10251 E 1st Ave","Aurora, CO","80010-4308","(303)-367-5983","10","5","EDUC","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0734","29208","F","12/31/2026","0413","TRADITIONAL PROGRAM","Meadowood Church","026","United Methodist Churches","208","16051 E Dartmouth Ave","Aurora, CO","80013-1914","(303)-690-2277","32","12","CHUR","No"
"Service Territory 05","Greater Colorado Council 061","","Centennial 02","North 1","Pack 0839","379624","F","12/31/2026","0450","Unit Growth Executive","All Saints Luthern Church","008","Lutheran Churches","12","15625 E Iliff Ave","Aurora, CO","80013-1110","(303)-752-4083","5","3","CHUR","No"
