Report: Detailed Cub Scout Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2026 to 12/31/2026
Month-to-Date (MTD): From 12/01/2026 to 12/31/2026
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..councilname,distorgname,organizationname,unitid,lionmtd,lionytd,tigermtd,tigerytd,bobcatmtd,bobcatytd,wolfmtd,wolfytd,bearmtd,bearytd,webelosmtd,webelosytd,lightmtd,lightytd,ranksmtd,ranksytd,youthqtt
"Greater Colorado Council 061","Centennial 02","Centennial 02","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greater Colorado Council 061","Centennial 02","North 1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greater Colorado Council 061","Centennial 02","Pack 0012 (F)","376086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Greater Colorado Council 061","Centennial 02","Pack 0015 (F)","36129","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","39"
"Greater Colorado Council 061","Centennial 02","Pack 0025 (F)","379009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Greater Colorado Council 061","Centennial 02","Pack 0030 (F)","31487","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","22"
"Greater Colorado Council 061","Centennial 02","Pack 0113 (F)","162526","0","2","0","2","0","0","0","1","0","3","0","0","0","2","0","10","36"
"Greater Colorado Council 061","Centennial 02","Pack 0127 (F)","188961","0","0","0","0","0","0","0","4","0","0","0","0","0","3","0","7","33"
"Greater Colorado Council 061","Centennial 02","Pack 0131 (F)","143433","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","9","32"
"Greater Colorado Council 061","Centennial 02","Pack 0255 (F)","217987","0","2","0","3","0","0","0","3","0","0","0","3","0","1","0","12","41"
"Greater Colorado Council 061","Centennial 02","Pack 0257 (F)","313545","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","34"
"Greater Colorado Council 061","Centennial 02","Pack 0268 (F)","227028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Greater Colorado Council 061","Centennial 02","Pack 0317 (B)","129523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Greater Colorado Council 061","Centennial 02","Pack 0345 (F)","182288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Greater Colorado Council 061","Centennial 02","Pack 0351 (F)","318598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Greater Colorado Council 061","Centennial 02","Pack 0375 (F)","164901","0","1","0","1","0","0","0","6","0","0","0","6","0","9","0","23","37"
"Greater Colorado Council 061","Centennial 02","Pack 0467 (F)","275689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Greater Colorado Council 061","Centennial 02","Pack 0630 (F)","279200","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","34"
"Greater Colorado Council 061","Centennial 02","Pack 0725 (F)","75161","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10"
"Greater Colorado Council 061","Centennial 02","Pack 0734 (F)","29208","0","0","0","0","0","0","0","2","0","5","0","3","0","0","0","10","32"
"Greater Colorado Council 061","Centennial 02","Pack 0770 (B)","260060","0","1","0","0","0","0","0","4","0","0","0","0","0","1","0","6","40"
"Greater Colorado Council 061","Centennial 02","Pack 0839 (F)","379624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Greater Colorado Council 061","Centennial 02","Pack 0914 (F)","80478","0","0","0","0","0","0","0","9","0","0","0","0","0","8","0","17","53"
"Greater Colorado Council 061","Centennial 02","Pack 1127 (F)","29768","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6","42"
"Greater Colorado Council 061","Centennial 02","Pack 2010 (F)","78685","0","0","0","0","0","0","0","8","0","1","0","6","0","4","0","19","42"
"Greater Colorado Council 061","Centennial 02","South 2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greater Colorado Council 061","Centennial 02","West 1 3","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greater Colorado Council 061","Centennial 02","West 2 4","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
