Report: Detailed Cub Scout Adventure Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Reporting Period: From 01/01/2026 to 12/31/2026
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n00,youthqtt
"Centennial 02","Pack 0015 (F)","36129","33","31","37","2","0","0","0","0","0","0","0","0","103","39"
"Centennial 02","Pack 0025 (F)","379009","1","11","7","7","0","0","0","0","0","0","0","0","26","13"
"Centennial 02","Pack 0030 (F)","31487","0","63","0","0","0","0","0","0","0","0","0","0","63","22"
"Centennial 02","Pack 0113 (F)","162526","50","41","21","26","0","0","0","0","0","0","0","0","138","36"
"Centennial 02","Pack 0127 (F)","188961","26","13","13","0","0","0","0","0","0","0","0","0","52","33"
"Centennial 02","Pack 0131 (F)","143433","54","40","14","4","0","0","0","0","0","0","0","0","112","32"
"Centennial 02","Pack 0255 (F)","217987","20","64","40","24","0","0","0","0","0","0","0","0","148","41"
"Centennial 02","Pack 0257 (F)","313545","8","5","3","7","0","0","0","0","0","0","0","0","23","34"
"Centennial 02","Pack 0317 (B)","129523","3","0","0","0","0","0","0","0","0","0","0","0","3","21"
"Centennial 02","Pack 0375 (F)","164901","68","83","44","29","0","0","0","0","0","0","0","0","224","37"
"Centennial 02","Pack 0630 (F)","279200","18","36","11","2","0","0","0","0","0","0","0","0","67","34"
"Centennial 02","Pack 0725 (F)","75161","0","4","3","1","0","0","0","0","0","0","0","0","8","10"
"Centennial 02","Pack 0734 (F)","29208","31","40","26","19","0","0","0","0","0","0","0","0","116","32"
"Centennial 02","Pack 0770 (B)","260060","50","33","37","19","0","0","0","0","0","0","0","0","139","40"
"Centennial 02","Pack 0914 (F)","80478","52","30","1","39","0","0","0","0","0","0","0","0","122","53"
"Centennial 02","Pack 1127 (F)","29768","38","18","11","0","0","0","0","0","0","0","0","0","67","42"
"Centennial 02","Pack 2010 (F)","78685","50","44","65","27","0","0","0","0","0","0","0","0","186","42"
