Report: Detailed Scouts BSA Advancement Report
Council: Greater Colorado Council 061
Organization Name: Centennial 02
Year-to-Date (YTD):: From 01/01/2026 to 12/31/2026
Month-to-Date (MTD): From 12/01/2026 to 12/31/2026
Report Generated By: Richard Hall
Date Report Generated: 04/16/2026
..
"This roster information is to be used only for authorized purposes on behalf of the Scouting America. Disclosing, copying, or making any inappropriate use of this roster information is strictly prohibited."
..distorgname,organizationname,unitid,scoutmtd,scoutytd,tenderfootmtd,tenderfootytd,secondclassmtd,secondclassytd,firstclassmtd,firstclassytd,starmtd,starytd,lifemtd,lifeytd,eaglemtd,eagleytd,totalmtd,totalytd,palmsmtd,palmsytd,meritbadgesmtd,meritbadgesytd,youthqtt
"Centennial 02","Centennial 02","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Crew 0308","365984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9"
"Centennial 02","North 1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Ship 0113","379687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10"
"Centennial 02","South 2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","Troop 0012 (B)","171062","0","1","0","2","0","1","0","0","0","0","0","4","0","0","0","8","0","0","0","27","43"
"Centennial 02","Troop 0030 (B)","96878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Centennial 02","Troop 0113 (B)","316509","0","2","0","0","0","0","0","1","0","2","0","3","0","1","0","9","0","4","0","7","53"
"Centennial 02","Troop 0113 (G)","358544","0","0","0","0","0","1","0","2","0","0","0","2","0","0","0","5","0","0","0","13","26"
"Centennial 02","Troop 0120 (B)","155614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7"
"Centennial 02","Troop 0127 (B)","376369","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","2","0","13","24"
"Centennial 02","Troop 0308 (F)","126066","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","4","0","2","0","27","27"
"Centennial 02","Troop 0308 (G)","359599","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Centennial 02","Troop 0317 (B)","21639","0","0","0","3","0","0","0","1","0","0","0","2","0","1","0","7","0","0","0","5","29"
"Centennial 02","Troop 0345 (F)","264941","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","5","0","0","0","10","46"
"Centennial 02","Troop 0373 (B)","92370","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","22"
"Centennial 02","Troop 0494 (B)","220907","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","4","0","0","0","1","35"
"Centennial 02","Troop 0630 (F)","219326","0","1","0","2","0","1","0","1","0","0","0","0","0","0","0","5","0","0","0","14","27"
"Centennial 02","Troop 0634 (B)","376402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Centennial 02","Troop 0734 (F)","377922","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","6","5"
"Centennial 02","Troop 0770 (B)","64224","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","5","0","0","0","16","19"
"Centennial 02","Troop 0839 (F)","176707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","8"
"Centennial 02","Troop 1532 (B)","335858","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","10"
"Centennial 02","Troop 3191 (G)","378070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Centennial 02","West 1 3","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Centennial 02","West 2 4","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
